 %[acid] (cm^-3)         [DMA] (ppt)               T (K)            CS (1/s)       J (cm^-3s^-1)
     1.00000E+05         1.00000E+08         1.80000E+02         1.00000E-03         5.56119E-03
     1.00000E+05         3.16228E+08         1.80000E+02         1.00000E-03         6.61322E-03
     1.00000E+05         1.00000E+09         1.80000E+02         1.00000E-03         7.14475E-03
     3.16228E+05         1.00000E+04         1.80000E+02         1.00000E-03         2.34793E-09
     3.16228E+05         3.16228E+04         1.80000E+02         1.00000E-03         2.28270E-07
     3.16228E+05         1.00000E+05         1.80000E+02         1.00000E-03         2.05935E-05
     3.16228E+05         3.16228E+05         1.80000E+02         1.00000E-03         1.38707E-03
     3.16228E+05         1.00000E+06         1.80000E+02         1.00000E-03         3.78120E-02
     3.16228E+05         3.16228E+06         1.80000E+02         1.00000E-03         2.10278E-01
     3.16228E+05         1.00000E+07         1.80000E+02         1.00000E-03         3.49166E-01
     3.16228E+05         3.16228E+07         1.80000E+02         1.00000E-03         4.05856E-01
     3.16228E+05         1.00000E+08         1.80000E+02         1.00000E-03         4.65959E-01
     3.16228E+05         3.16228E+08         1.80000E+02         1.00000E-03         5.52738E-01
     3.16228E+05         1.00000E+09         1.80000E+02         1.00000E-03         5.96410E-01
     1.00000E+06         1.00000E+04         1.80000E+02         1.00000E-03         2.97964E-07
     1.00000E+06         3.16228E+04         1.80000E+02         1.00000E-03         2.76019E-05
     1.00000E+06         1.00000E+05         1.80000E+02         1.00000E-03         2.18701E-03
     1.00000E+06         3.16228E+05         1.80000E+02         1.00000E-03         1.13106E-01
     1.00000E+06         1.00000E+06         1.80000E+02         1.00000E-03         2.30301E+00
     1.00000E+06         3.16228E+06         1.80000E+02         1.00000E-03         1.18617E+01
     1.00000E+06         1.00000E+07         1.80000E+02         1.00000E-03         2.03131E+01
     1.00000E+06         3.16228E+07         1.80000E+02         1.00000E-03         2.38174E+01
     1.00000E+06         1.00000E+08         1.80000E+02         1.00000E-03         2.72154E+01
     1.00000E+06         3.16228E+08         1.80000E+02         1.00000E-03         3.19193E+01
     1.00000E+06         1.00000E+09         1.80000E+02         1.00000E-03         3.42632E+01
     3.16228E+06         1.00000E+04         1.80000E+02         1.00000E-03         2.13793E-05
     3.16228E+06         3.16228E+04         1.80000E+02         1.00000E-03         1.85966E-03
     3.16228E+06         1.00000E+05         1.80000E+02         1.00000E-03         1.24029E-01
     3.16228E+06         3.16228E+05         1.80000E+02         1.00000E-03         4.46904E+00
     3.16228E+06         1.00000E+06         1.80000E+02         1.00000E-03         6.07947E+01
     3.16228E+06         3.16228E+06         1.80000E+02         1.00000E-03         2.90250E+02
     3.16228E+06         1.00000E+07         1.80000E+02         1.00000E-03         5.57473E+02
     3.16228E+06         3.16228E+07         1.80000E+02         1.00000E-03         6.81024E+02
     3.16228E+06         1.00000E+08         1.80000E+02         1.00000E-03         7.75345E+02
     3.16228E+06         3.16228E+08         1.80000E+02         1.00000E-03         8.92833E+02
     3.16228E+06         1.00000E+09         1.80000E+02         1.00000E-03         9.51914E+02
     1.00000E+07         1.00000E+04         1.80000E+02         1.00000E-03         1.58849E-03
